date,open,high,low,close
2014-11-12,1104.267,1120.202,1102.924,1120.202
2014-11-13,1120.088,1120.088,1092.684,1099.024
2014-11-14,1095.588,1100.899,1089.953,1100.382
2014-11-17,1101.508,1117.726,1096.694,1113.585
2014-11-18,1113.416,1117.786,1111.327,1115.654
2014-11-19,1115.555,1127.426,1114.923,1123.755
2014-11-20,1120.247,1122.246,1116.637,1118.714
2014-11-21,1119.396,1127.265,1119.077,1127.113
2014-11-24,1135.626,1139.213,1130.169,1136.45
2014-11-25,1137.513,1155.3,1136.676,1155.3
2014-11-26,1157.243,1159.486,1148.881,1157.17
2014-11-27,1160.944,1161.801,1152.285,1161.124
2014-11-28,1160.961,1160.961,1146.876,1158.112
2014-12-01,1156.34,1156.34,1139.549,1146.668
2014-12-02,1145.403,1160.33,1144.429,1158.385
2014-12-03,1159.125,1172.192,1150.723,1172.192
2014-12-04,1173.248,1193.347,1173.248,1192.385
2014-12-05,1194.772,1194.772,1137.018,1165.776
2014-12-08,1160.398,1172.166,1151.861,1167.296
2014-12-09,1163.857,1163.857,1116.832,1118.066
2014-12-10,1118.134,1158.296,1118.092,1158.184
2014-12-11,1155.861,1170.657,1152.439,1169.353
2014-12-12,1170.83,1181.618,1169.757,1180.334
2014-12-15,1175.697,1201.225,1173.857,1200.178
2014-12-16,1200.641,1202.518,1187.3,1193.282
2014-12-17,1190.392,1190.392,1166.78,1178.613
2014-12-18,1175.898,1181.819,1172.921,1174.315
2014-12-19,1171.922,1171.922,1141.535,1156.809
2014-12-22,1152.008,1152.008,1105.052,1107.836
2014-12-23,1103.037,1117.221,1092.371,1093.222
2014-12-24,1098.586,1111.673,1097.749,1111.673
2014-12-25,1115.478,1124.961,1114.436,1124.961
2014-12-26,1125.45,1130.843,1121.287,1130.843
2014-12-29,1131.262,1131.262,1108.233,1114.527
2014-12-30,1113.479,1114.791,1094.543,1096.752
2014-12-31,1096.98,1107.185,1093.192,1107.176
2015-01-05,1109.326,1127.914,1100.273,1124.994
2015-01-06,1118.359,1149.99,1114.276,1148.721
2015-01-07,1146.746,1149.589,1136.294,1143.42
2015-01-08,1142.817,1153.085,1136.901,1143.256
2015-01-09,1140.707,1158.589,1140.245,1140.319
2015-01-12,1137.155,1144.498,1129.599,1137.772
2015-01-13,1138.209,1166.39,1138.209,1165.579
2015-01-14,1164.612,1167.611,1155.339,1160.3
2015-01-15,1159.923,1165.286,1157.042,1162.42
2015-01-16,1162.77,1180.839,1162.77,1179.39
2015-01-19,1152.864,1190.167,1138.52,1152.772
2015-01-20,1157.468,1195.399,1157.468,1195.397
2015-01-21,1202.114,1219.413,1201.601,1218.374
2015-01-22,1219.524,1233.937,1217.565,1232.444
2015-01-23,1232.675,1233.682,1211.443,1215.988
2015-01-26,1217.735,1241.302,1217.735,1241.302
2015-01-27,1245.128,1250.837,1229.702,1249.639
2015-01-28,1245.566,1251.973,1235.526,1239.049
2015-01-29,1230.073,1240.635,1226.543,1234.722
2015-01-30,1235.064,1239.701,1218.321,1218.59
2015-02-02,1207.064,1222.433,1203.852,1213.864
2015-02-03,1218.839,1242.487,1218.839,1241.047
2015-02-04,1244.198,1250.048,1237.051,1237.553
2015-02-05,1245.369,1255.788,1235.271,1235.906
2015-02-06,1234.707,1238.272,1207.801,1212.672
2015-02-09,1209.854,1219.403,1202.235,1204.808
2015-02-10,1205.464,1227.87,1204.522,1227.87
2015-02-11,1229.288,1248.3,1229.277,1245.462
2015-02-12,1246.963,1255.132,1246.028,1254.244
2015-02-13,1260.343,1277.734,1260.343,1272.603
2015-02-16,1277.84,1304.881,1277.84,1304.881
2015-02-17,1310.259,1312.125,1301.452,1309.823
2015-02-25,1314.218,1315.2,1297.949,1302.58
2015-02-26,1301.63,1311.841,1297.332,1311.839
2015-02-27,1311.867,1325.26,1308.824,1323.692
2015-03-02,1330.511,1349.404,1326.113,1349.404
2015-03-03,1343.017,1359.137,1337.588,1338.274
2015-03-04,1338.371,1361.498,1338.371,1361.498
2015-03-05,1363.138,1369.512,1353.606,1369.467
2015-03-06,1373.023,1374.368,1341.376,1341.475
2015-03-09,1336.147,1360.697,1328.602,1360.697
2015-03-10,1362.947,1387.749,1362.219,1383.702
2015-03-11,1384.555,1386.435,1375.159,1379.913
2015-03-12,1385.508,1387.502,1363.377,1374.937
2015-03-13,1380.284,1394.709,1377.401,1394.709
2015-03-16,1405.967,1444.022,1405.967,1444.022
2015-03-17,1452.384,1462.595,1439.292,1456.598
2015-03-18,1458.401,1486.345,1451.916,1485.679
2015-03-19,1487.44,1493.376,1476.303,1493.376
2015-03-20,1492.66,1515.322,1492.66,1507.743
2015-03-23,1515.313,1554.128,1515.313,1554.128
2015-03-24,1559.336,1574.523,1512.041,1572.285
2015-03-25,1571.963,1611.247,1564.634,1598.985
2015-03-26,1592.469,1603.72,1554.275,1568.264
2015-03-27,1568.419,1593.122,1566.239,1591.333
2015-03-30,1594.655,1606.379,1590.139,1601.606
2015-03-31,1603.94,1629.863,1594.452,1612.102
2015-04-01,1615.411,1662.611,1615.411,1658.02
2015-04-02,1672.292,1694.907,1667.976,1694.476
2015-04-03,1686.934,1719.917,1679.142,1718.595
2015-04-07,1725.627,1750.563,1725.627,1750.563
2015-04-08,1757.213,1757.448,1689.864,1719.762
2015-04-09,1718.621,1718.621,1630.729,1693.169
2015-04-10,1687.321,1742.399,1678.445,1739.207
2015-04-13,1749.559,1781.084,1738.521,1776.141
2015-04-14,1777.326,1786.296,1752.479,1768.438
2015-04-15,1764.876,1764.876,1700.577,1700.577
2015-04-16,1679.889,1741.241,1664.253,1721.491
2015-04-17,1733.914,1742.243,1715.295,1724.667
2015-04-20,1716.516,1720.455,1671.953,1678.421
2015-04-21,1679.626,1742.232,1679.626,1742.232
2015-04-22,1758.022,1791.706,1758.022,1791.23
2015-04-23,1800.629,1818.899,1788.182,1809.652
